filename,xmin,ymin,xmax,ymax,class
images/Image_001.jpg,4,4,477,460,healthy
images/Image_001.jpg,3,473,197,745,healthy
images/Image_001.jpg,272,492,562,745,healthy
images/Image_001.jpg,511,114,726,250,stressed
images/Image_001.jpg,571,599,748,744,stressed
images/Image_001.jpg,510,302,741,481,healthy
images/Image_002.jpg,1,5,477,369,healthy
images/Image_002.jpg,12,387,155,740,healthy
images/Image_002.jpg,502,12,742,121,stressed
images/Image_002.jpg,480,418,748,748,stressed
images/Image_002.jpg,523,175,726,369,healthy
images/Image_002.jpg,259,377,436,660,healthy
images/Image_003.jpg,1,361,135,744,healthy
images/Image_003.jpg,11,1,112,297,healthy
images/Image_003.jpg,195,17,732,211,healthy
images/Image_003.jpg,233,221,535,376,healthy
images/Image_003.jpg,578,564,743,736,stressed
images/Image_003.jpg,576,242,731,519,stressed
images/Image_003.jpg,155,538,471,749,stressed
images/Image_003.jpg,396,384,547,528,stressed
images/Image_004.jpg,2,7,138,604,healthy
images/Image_004.jpg,219,6,473,226,healthy
images/Image_004.jpg,492,2,731,74,healthy
images/Image_004.jpg,272,575,510,742,stressed
images/Image_004.jpg,158,240,485,549,stressed
images/Image_004.jpg,580,375,747,582,stressed
images/Image_004.jpg,497,83,742,348,stressed
images/Image_004.jpg,579,669,693,748,healthy
images/Image_005.jpg,8,3,134,551,healthy
images/Image_005.jpg,224,2,517,153,healthy
images/Image_005.jpg,532,614,745,749,healthy
images/Image_005.jpg,569,321,746,543,stressed
images/Image_005.jpg,525,28,722,275,stressed
images/Image_005.jpg,13,659,303,742,stressed
images/Image_005.jpg,143,508,487,673,stressed
images/Image_005.jpg,147,243,503,491,stressed
images/Image_006.jpg,469,483,748,746,stressed
images/Image_006.jpg,565,186,732,383,stressed
images/Image_006.jpg,1,560,355,746,stressed
images/Image_006.jpg,282,367,458,538,stressed
images/Image_006.jpg,117,145,257,472,stressed
images/Image_006.jpg,481,1,733,138,stressed
images/Image_006.jpg,309,86,477,352,stressed
images/Image_006.jpg,5,148,105,448,healthy
images/Image_006.jpg,10,3,230,141,healthy
images/Image_007.jpg,327,4,586,200,stressed
images/Image_007.jpg,218,643,380,750,stressed
images/Image_007.jpg,389,459,661,740,stressed
images/Image_007.jpg,667,259,749,525,stressed
images/Image_007.jpg,11,3,295,203,healthy
images/Image_007.jpg,12,226,204,733,healthy
images/Image_007.jpg,228,257,366,614,healthy
images/Image_007.jpg,397,235,627,443,healthy
images/Image_007.jpg,622,10,750,219,healthy
images/Image_009.jpg,9,3,288,377,healthy
images/Image_009.jpg,296,2,617,223,healthy
images/Image_009.jpg,679,212,746,527,healthy
images/Image_009.jpg,595,608,747,746,healthy
images/Image_009.jpg,80,386,210,540,healthy
images/Image_009.jpg,5,551,232,740,stressed
images/Image_009.jpg,309,575,534,743,stressed
images/Image_009.jpg,328,268,522,533,stressed
images/Image_009.jpg,547,237,669,452,stressed
images/Image_009.jpg,645,2,746,204,stressed
images/Image_010.jpg,573,500,745,742,stressed
images/Image_010.jpg,326,376,534,575,stressed
images/Image_010.jpg,330,683,439,748,stressed
images/Image_010.jpg,17,200,272,745,stressed
images/Image_010.jpg,346,114,638,314,stressed
images/Image_010.jpg,530,1,669,99,stressed
images/Image_010.jpg,8,2,333,192,healthy
images/Image_010.jpg,358,2,513,84,healthy
images/Image_010.jpg,679,27,745,333,healthy
images/Image_011.jpg,7,1,345,123,healthy
images/Image_011.jpg,670,5,749,250,healthy
images/Image_011.jpg,325,644,454,742,healthy
images/Image_011.jpg,540,488,741,743,stressed
images/Image_011.jpg,26,521,259,686,stressed
images/Image_011.jpg,1,697,62,742,stressed
images/Image_011.jpg,301,314,549,527,stressed
images/Image_011.jpg,38,222,245,504,stressed
images/Image_011.jpg,254,135,464,297,stressed
images/Image_011.jpg,479,1,650,220,stressed
images/Image_012.jpg,327,180,543,383,stressed
images/Image_012.jpg,248,7,499,128,stressed
images/Image_012.jpg,38,83,225,373,stressed
images/Image_012.jpg,43,369,263,552,stressed
images/Image_012.jpg,302,598,471,749,stressed
images/Image_012.jpg,546,328,743,536,stressed
images/Image_012.jpg,499,538,743,700,stressed
images/Image_012.jpg,9,604,89,744,healthy
images/Image_012.jpg,665,11,743,122,healthy
images/Image_012.jpg,101,5,225,53,healthy
images/Image_014.jpg,643,646,745,744,stressed
images/Image_014.jpg,20,514,170,692,stressed
images/Image_014.jpg,165,421,371,565,stressed
images/Image_014.jpg,280,311,480,417,stressed
images/Image_014.jpg,451,180,665,306,stressed
images/Image_014.jpg,665,90,750,443,stressed
images/Image_014.jpg,405,435,562,671,healthy
images/Image_014.jpg,433,7,610,71,healthy
images/Image_014.jpg,3,56,105,471,healthy
images/Image_014.jpg,119,290,270,372,healthy
images/Image_014.jpg,117,52,361,267,healthy
images/Image_017.jpg,79,315,270,488,stressed
images/Image_017.jpg,5,140,251,258,stressed
images/Image_017.jpg,159,5,351,153,stressed
images/Image_017.jpg,617,276,746,537,stressed
images/Image_017.jpg,311,471,557,738,stressed
images/Image_017.jpg,548,554,712,674,stressed
images/Image_017.jpg,3,3,70,90,healthy
images/Image_017.jpg,424,15,563,250,healthy
images/Image_017.jpg,66,651,212,741,healthy
images/Image_017.jpg,405,359,601,461,healthy
images/Image_018.jpg,82,181,289,381,stressed
images/Image_018.jpg,1,2,245,110,stressed
images/Image_018.jpg,20,504,231,745,stressed
images/Image_018.jpg,263,560,492,750,stressed
images/Image_018.jpg,341,334,526,545,stressed
images/Image_018.jpg,601,142,750,384,stressed
images/Image_018.jpg,520,525,700,719,healthy
images/Image_018.jpg,412,5,540,97,healthy
images/Image_018.jpg,420,197,596,305,healthy
images/Image_020.jpg,4,374,58,682,healthy
images/Image_020.jpg,7,2,105,82,healthy
images/Image_020.jpg,370,441,507,621,healthy
images/Image_020.jpg,451,694,625,749,healthy
images/Image_020.jpg,659,267,750,374,healthy
images/Image_020.jpg,534,406,701,538,stressed
images/Image_020.jpg,540,554,740,681,stressed
images/Image_020.jpg,407,2,725,143,stressed
images/Image_020.jpg,356,151,534,317,stressed
images/Image_020.jpg,181,51,349,184,stressed
images/Image_020.jpg,16,189,346,360,stressed
images/Image_020.jpg,178,645,401,746,stressed
images/Image_020.jpg,251,538,365,637,stressed
images/Image_022.jpg,6,52,55,306,healthy
images/Image_022.jpg,1,405,144,568,healthy
images/Image_022.jpg,480,361,573,458,healthy
images/Image_022.jpg,409,84,495,220,healthy
images/Image_022.jpg,304,447,442,603,healthy
images/Image_022.jpg,202,1,338,126,stressed
images/Image_022.jpg,552,62,679,181,stressed
images/Image_022.jpg,644,207,711,352,stressed
images/Image_022.jpg,509,222,610,321,stressed
images/Image_022.jpg,270,198,401,288,stressed
images/Image_022.jpg,236,302,402,426,stressed
images/Image_022.jpg,169,435,271,603,stressed
images/Image_022.jpg,9,631,192,746,stressed
images/Image_022.jpg,572,641,705,744,stressed
images/Image_022.jpg,703,533,749,613,healthy
images/Image_023.jpg,10,1,59,267,healthy
images/Image_023.jpg,14,350,115,511,healthy
images/Image_023.jpg,384,43,520,191,healthy
images/Image_023.jpg,472,310,588,459,healthy
images/Image_023.jpg,14,692,206,744,healthy
images/Image_023.jpg,281,412,417,587,healthy
images/Image_023.jpg,225,1,316,63,healthy
images/Image_023.jpg,547,13,693,123,stressed
images/Image_023.jpg,278,146,366,254,stressed
images/Image_023.jpg,132,329,253,512,stressed
images/Image_023.jpg,269,263,431,380,stressed
images/Image_023.jpg,9,521,193,682,stressed
images/Image_023.jpg,551,152,715,266,stressed
images/Image_023.jpg,455,651,613,745,stressed
images/Image_023.jpg,606,559,721,655,stressed
